Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Жаліло,Віктор,Олексович,male,1948-05-30,М'ясник,хутір Іллінці,"шосе Дунаєва, буд. 492 кв. 9, Вознесенівка, 96773",+380 62 370-10-50,khrystyna66@example.com
Дубина,Одарка,Миколаївна,female,1963-01-29,Мінералог,місто Зіньків,"провулок Тульська, буд. 68 кв. 074, Городенка, 50638",+380 55 082 95 34,tsiutsiuraruslan@example.com
Андрощук,Яків,Валерійович,male,1988-09-30,Лікар,хутір Гадяч,"парк Короткий, буд. 415 кв. 481, Дубно, 84049",849 31 72,ivashchenkobohuslava@example.com
Павличенко,Марина,Романівна,female,1994-01-15,Соціолог,хутір Баранівка,"парк Бібліотечна, буд. 31 кв. 5, Суми, 99142",055 794 63 92,khorishkovioletta@example.com
Носенко,Михайлина,Олександрівна,female,2006-01-13,Фрілансер,хутір Жидачів,"парк Орликова, буд. 9 кв. 882, Шумськ, 76158",+380 (80) 171-19-72,derkachiustyna@example.com
Петренко,Єфрем,Яремович,male,1947-06-27,Палеонтолог,місто Алчевськ,"площа Академіка Гаркавого, буд. 01 кв. 87, Рудки, 24129",+380 (86) 455-60-38,dhavrysh@example.net
Романчук,Святослава,Федорівна,female,1978-09-27,Візажист,місто Любомль,"вулиця Овідіопольська, буд. 2, Луганськ, 32328",042 675 39 16,leopoldzharko@example.org
Семенченко,Варфоломій,Климентович,male,2001-03-05,Водій,місто Дніпро ,"площа Корнюшина, буд. 4, Вишневе , 12357",053 660-77-57,veniiamynzaiets@example.net
Кибкало,Августин,Іванович,male,1939-05-14,Пекар,хутір Липовець,"проспект Нерубайська, буд. 032 кв. 0, Рівне, 40911",+380 59 028-77-02,rostyslavkhrystych@example.org
Ващенко,Леопольд,Максимович,male,1945-12-19,Музичний редактор,селище Богуслав,"вулиця Виноградна 1-ша, буд. 6 кв. 623, Кам'янка (Черкаська область), 88132",+380 70 415-05-73,panteleimonmazepa@example.com
Дрозд,Леопольд,Валерійович,male,1940-03-01,Мікробіолог,хутір Дружба ,"шосе Гвоздичний, буд. 991, Вишневе , 27967",+380 (97) 878-99-86,ldziuba@example.net
Деревʼянко,Ілля,Яремович,male,1965-08-09,Будник,місто Немирів,"парк Водопровідний 1-й, буд. 67 кв. 011, Алупка, 74655",+380 50 320 38 51,petrykpavlo@example.org
Штепа,Одарка,Богуславівна,female,1969-01-16,Хімік,селище Берестечко,"вулиця Марії Демченко, буд. 09 кв. 02, Вовчанськ, 16895",027 13 25,markodankevych@example.net
Масоха,Лесь,Тарасович,male,1939-12-03,Модельєр,хутір Лубни,"сквер Шишкіна, буд. 748, Євпаторія, 61153",058 598-11-03,hordiilukash@example.org
Дергач,Святослава,Алевтинівна,female,2002-03-15,Геолог,селище Шпола,"узвіз Восьмого березня 4-й, буд. 37, Баштанка, 56754",663-74-63,korsunvadym@example.com
Зінченко,Станіслав,Вʼячеславович,male,1998-06-13,Кушнір,хутір Горохів,"площа Космонавтів, буд. 898, Полонне, 80274",010 993-09-12,liliia80@example.net
Андріїшин,Пантелеймон,Хомович,male,1989-04-16,Музикант,село Красногорівка,"проспект Дачний, буд. 561, Галич, 12573",053 307 16 92,yprokopovych@example.net
Андріїшин,Роксолана,Симонівна,female,1982-10-11,Математик,селище Петрово-Красносілля,"шосе Слави, буд. 34 кв. 459, Володимир-Волинський, 40569",011 35 60,marynavasylashko@example.com
Цушко,Володимира,Богодарівна,female,1960-10-31,Державний службовець,селище Жмеринка,"набережна Кільовий, буд. 54 кв. 356, П'ятихатки, 74597",+380 59 324-99-42,liubovvlasenko@example.com
Аврамчук,Климент,Гаврилович,male,1980-04-11,Інженер,місто Боково-Хрустальне,"проспект Український 1-й, буд. 523 кв. 118, Ржищів, 83507",188-80-50,iakivonufriienko@example.org
Атрощенко,Софія,Назарівна,female,1955-08-24,Кінорежисер,хутір Алчевськ,"набережна Флотський 1-й, буд. 218 кв. 95, Монастирище, 31619",005 887 86 96,vdovenkoiefrem@example.org
Бевз,Олександр,Тарасович,male,1959-01-19,Няня,селище Зеленодольськ,"парк Грецький, буд. 697, Балаклія, 45024",958-57-06,iaremaruban@example.com
Гавришкевич,Марина,Максимівна,female,1984-04-23,Актор,село Старий Самбір,"площа Єлисаветградський, буд. 9 кв. 673, Дніпро , 98533",+380 90 936-13-54,mariiazhuk@example.com
Ґалаґан,Валентина,Вʼячеславівна,female,1993-08-26,Паблік рилейшнз,село Алупка,"проспект Василя Кандинського 3-й, буд. 950, Берислав, 77638",022 688 42 13,rozaliia88@example.org
Рак,Святослав,Ігорович,male,1973-05-16,Палеонтолог,село Торецьк,"площа Азербайджан, буд. 989 кв. 90, Вашківці, 13614",+380 (73) 710-82-00,davydenkohavrylo@example.net
Власюк,Йосип,Юстимович,male,1947-06-13,Конструктор,село Чигирин,"площа Єліна, буд. 84, Вінниця, 10715",374-15-69,vanchenkomarta@example.com
Корпанюк,Гаврило,Ааронович,male,1957-11-19,Драматург,місто Калуш,"вулиця Компасний, буд. 2 кв. 972, Новий Розділ, 43775",+380 69 043-48-00,zabilaliudmyla@example.net
Христенко,Еріка,Станіславівна,female,1958-08-27,Клавішник,селище Боярка,"узвіз Михайла Божія, буд. 62, Марганець , 90073",+380 36 814 44 99,veresdan@example.org
Радченко,Онисим,Андрійович,male,1985-02-26,Маркетолог,село Верхньодніпровськ,"площа Ясна, буд. 841, Новомиргород, 62068",+380 33 684-10-78,hlibbazylevych@example.net
Короленко,Віктор,Антонович,male,1970-01-12,Кінолог,селище Мостиська,"узвіз Десятого квітня, буд. 834 кв. 40, Батурин, 43431",023 455 83 15,darynahuzenko@example.net
Гречаник,Амвросій,Охрімович,male,1992-02-28,Детектив,село Буча,"узвіз Каманіна, буд. 39 кв. 886, Новгород-Сіверський, 59164",+380 10 386-92-09,nikoliukarsen@example.org
Жарко,Устим,Леопольдович,male,1964-08-05,Геофізик,хутір Новояворівськ,"узвіз Жуковського, буд. 0 кв. 7, Вільногірськ, 21784",+380 19 416 71 54,tredko@example.com
Балабан,Маруся,Марківна,female,1960-11-27,Патологоанатом,хутір Молодогвардійськ,"шосе Олексіївська, буд. 33, Підгайці, 37776",+380 88 632-31-39,chernenkoopanas@example.net
Василашко,Валентина,Федорівна,female,1975-07-30,Диригент,місто Миргород,"сквер Мацієвської узвіз, буд. 066, Болград, 55684",+380 95 433-55-36,slubenets@example.org
Христенко,Альбіна,Соломонівна,female,1999-05-18,Кінорежисер,село Судак ,"узвіз Верф’яний, буд. 33 кв. 8, Сокаль, 74729",065 592-33-98,ievdokymenkonataliia@example.org
Андрієнко,Гордій,Панасович,male,1942-04-20,Драматург,село Скалат,"шосе Осіння, буд. 760, Лозова , 38629",943 66 75,miroshnychenkoleopold@example.org
Павленко,Святослава,Богодарівна,female,1987-12-15,Кур'єр,селище Старий Крим,"шосе Камишова, буд. 86, Ямпіль, 10509",315 66 36,volodymyrprytula@example.org
Теличенко,Тереза,Спасівна,female,1949-06-25,Співак,місто Ірпінь,"провулок 15-та ст. Великого Фонтану пляж, буд. 8, Батурин, 15531",+380 32 919 77 73,lmasokha@example.org
Тягнибок,Гаврило,Ігнатович,male,1991-07-06,Дерун,село Буча,"парк Олександра Невського 4-й, буд. 8 кв. 2, Городенка, 12748",+380 28 166-69-05,zhaivorondemyd@example.net
Рудько,Алла,Яремівна,female,1948-09-11,Бібліотекар,село Миргород,"провулок Байкальська, буд. 883, Алупка, 72414",+380 32 028-72-10,iurchyshynvalerii@example.com
Артюх,Світлана,Єфремівна,female,1946-03-24,Стоматолог,село Березань ,"набережна Мариністів, буд. 719, Сміла, 51844",+380 (89) 493-95-72,olehskorobohatko@example.com
Ємельяненко,Ігнат,Аврелійович,male,1983-02-28,Промисловець,селище Копичинці,"проспект М’ясоєдовська, буд. 4 кв. 6, Барвінкове, 91691",+380 11 759-49-92,valeriitereshchenko@example.com
Їжак,Пилип,Тимофійович,male,1986-02-07,Менеджер,село Буча,"вулиця Балтська дорога, буд. 2 кв. 31, Вараш, 20978",197 76 21,charnyshpanteleimon@example.com
Баранник,Антон,Богодарович,male,1940-09-15,Палеонтолог,селище Кадіївка,"шосе Центральна, буд. 427, Світлодарськ, 05992",+380 (17) 714-51-76,iustynaandriienko@example.org
Дергач,Миколай,Дмитрович,male,2006-06-22,Соціолог,селище Сновськ,"парк Станційна 2-га, буд. 4 кв. 673, Лебедин, 19719",431-04-89,iesypenkobohodar@example.net
Зінченко,Володимира,Болеславівна,female,1992-03-10,Слідчий,хутір Рені,"набережна Василя Симоненка, буд. 56 кв. 35, Рахів, 50345",+380 09 703 14 65,klymentnikoliuk@example.com
Арсенич,Ада,Ігнатівна,female,1987-06-08,Епідеміолог,село Сторожинець,"сквер Семафорний, буд. 374, Вишневе , 22821",+380 (47) 525-19-31,bohdanna12@example.net
Устенко,Василина,Володимирівна,female,2001-11-29,Акушер,село Дружба ,"узвіз Дубовий гай, буд. 33 кв. 0, Красилів, 30695",078 412-19-01,holoborodkomykhailo@example.net
Дурдинець,Євген,Єфремович,male,1944-06-06,Стиліст,хутір Рівне,"парк Студентський 2-й, буд. 6 кв. 792, Коломия, 67658",966 73 83,dankevychnadiia@example.com
Щербак,Ілля,Теодорович,male,1976-05-05,Перекладач,хутір Арциз,"парк Рощева, буд. 05 кв. 90, Севастополь, 80808",+380 (61) 510-35-47,chuprynaiustym@example.org
Кабаненко,Георгій,Єлисейович,male,1946-08-19,Модель,село Самбір,"проспект Пісочна, буд. 5 кв. 609, Погребище, 98117",+380 51 983-26-26,syrotenkoboryslav@example.org
Голик,Панас,Хомович,male,1942-04-19,Ґрунтознавець,село Зоринськ,"узвіз 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 353, Тростянець, 73426",+380 (08) 495-78-72,irubets@example.net
Канівець,Борислав,Петрович,male,2006-07-12,Футболіст,селище Батурин,"вулиця Студентський, буд. 61, Первомайськ, 32683",+380 78 259-88-96,iakiv33@example.org
Цимбалюк,Ярослава,Богуславівна,female,1977-02-14,Машиніст,село Суми,"сквер Мирна, буд. 044 кв. 084, Дружба , 34899",+380 (24) 155-86-47,myronvakulenko@example.com
Сіробаба,Альберт,Юстимович,male,1944-07-06,Фізик,селище Вилкове,"проспект Катерининська, буд. 76, Козятин, 58365",+380 42 150-61-34,dzhunvolodymyr@example.com
Непорожній,Тарас,Богданович,male,1941-04-21,Петрограф,місто Кам'янка (Черкаська область),"парк Змієнка Всеволода, буд. 75 кв. 939, Щастя , 82079",994 85 84,viktoriiacharnysh@example.org
Слюсар,Устим,Олегович,male,1996-07-15,Няня,село Калуш,"набережна Бузкова, буд. 71, Городище , 03598",+380 21 399-98-03,iesypenkoruslan@example.com
Пушкар,Данна,Богданівна,female,1959-07-07,Промисловець,хутір Снігурівка,"площа ім. К.Г. Паустовського, буд. 9 кв. 5, Кам'янське, 75884",+380 89 360-32-52,ihorgoliash@example.net
Бабко,Георгій,Адамович,male,1948-12-05,Фрілансер,село Географія Вільнянська,"проспект Котляревського, буд. 649 кв. 26, Чернігів, 05309",614-73-46,alevtyn73@example.org
Габелко,Анжела,Миколаївна,female,1982-01-22,Медик,село Верхньодніпровськ,"провулок Хаджибейський 2-й, буд. 0 кв. 26, Корюківка, 28452",+380 21 858 83 97,shakhrairoksolana@example.net
Шамрай,Галина,Гордіївна,female,2000-12-24,Мірошник,місто Любомль,"набережна Лінія 46-та, буд. 3 кв. 991, Токмак, 38975",+380 57 095 40 74,mykhaliukustym@example.net
Сич,Едуард,Єфремович,male,1955-07-21,Кухар,селище Виноградів,"вулиця Лінія 43-тя, буд. 21, Вінниця, 79203",005 728 07 54,mazurruslan@example.org
Притула,Святослава,Веніяминівна,female,2004-04-25,Гінеколог,місто Хорол ,"площа Льва Толстого, буд. 229 кв. 2, Красногорівка, 07908",083 406 52 45,dmytro31@example.net
Ванченко,Теодор,Ігнатович,male,1978-08-22,Модельєр,місто Новгород-Сіверський,"провулок Садиковська, буд. 063, Рівне, 57930",640-30-09,lahodairyna@example.org
Абрагамовська,Людмила,Остапівна,female,1963-09-04,Пекар,місто Кам'янка (Черкаська область),"площа Патріотична, буд. 481, Ківерці, 45727",+380 40 057 35 57,aaronieshchenko@example.com
Артюх,Сніжана,Йосипівна,female,1977-12-28,Бібліограф,село Рівне,"парк Полтавська, буд. 62 кв. 22, Рава-Руська, 35202",+380 (09) 895-47-95,stepandemianiuk@example.org
Жук,Миколай,Прохорович,male,1995-07-20,Стоматолог,село Горохів,"площа Грузовий, буд. 1, Івано-Франківськ, 11027",084 470-48-19,leon15@example.net
Товстоліс,Тетяна,Несторівна,female,1975-01-16,Продюсер,село Кам'янець-Подільський,"проспект Бучми, буд. 85, Гайворон, 70449",726-67-12,lvasylevych@example.com
Єрмоленко,Ярина,Амвросійовна,female,1970-03-22,Сценарист,селище Боярка,"узвіз Велика Арнаутська, буд. 4 кв. 82, Радомишль, 73296",025 452-91-85,ivaniakymenko@example.org
Цибуленко,Леонід,Юстимович,male,1988-05-31,Ґрунтознавець,місто Сулимівка (Слов'янськ),"площа Яблочкіної, буд. 7, Мена , 76183",001 067-04-95,tusyk@example.net
Дзюба,Юхим,Едуардович,male,1973-01-06,Скульптор,село Тлумач,"проспект Шостої 1-й, буд. 311 кв. 140, Баштанка, 04985",045 371 24 27,charnyshielysei@example.com
Дахно,Софія,Прохорівна,female,1997-12-24,Ріелтор,селище Свалява,"набережна Кедровий, буд. 1 кв. 660, Тараща, 03458",842-39-90,frantsandriienko@example.net
Семенченко,Анастасія,Панасівна,female,1945-11-05,Каскадер,хутір Первомайськ,"вулиця 2-й Академічний тупик, буд. 0, Рогатин, 33465",210-56-28,ykopytko@example.com
Авраменко,Михайлина,Азарівна,female,1980-09-23,Геофізик,місто Монастириська,"узвіз Польський узвіз, буд. 07 кв. 9, Чорнобиль, 27274",+380 18 867-75-77,zarubavalentyna@example.com
Ємельяненко,Анжела,Охрімівна,female,1978-04-26,Антрополог,місто Борщів,"проспект Літакова, буд. 1 кв. 790, Чуднів, 27403",+380 50 671-39-21,mbashpolchenko@example.com
Петлюра,Одарка,Артемівна,female,1952-06-19,Стропальник,селище Лозова ,"проспект Стахановський 4-й, буд. 63, Лиман , 37028",442 26 27,andriidanchenko@example.net
Ніколюк,Ірена,Кирилівна,female,1958-11-16,Електромонтер,село Лиман ,"провулок Артезіанська, буд. 58, Миргород, 17789",493-80-39,cstus@example.org
Червоненко,Богуслав,Антонович,male,1955-12-02,Географ,селище Гребінка,"парк Травневий 2-й, буд. 11, Берегове, 33628",+380 95 983-55-51,iushchenkomykhailyna@example.net
Затовканюк,Франц,Вʼячеславович,male,1993-01-12,Зоолог,село Рубіжне,"площа 3-тя Лінія Марії Демченко, буд. 36 кв. 37, Снігурівка, 18513",+380 58 365 09 09,marianashakhrai@example.org
Вітер,Ліза,Ігнатівна,female,1940-01-04,Перекладач,село Бердянськ,"площа Шостої 1-й, буд. 053 кв. 0, Глухів, 88374",063 358 42 25,shyloopanas@example.org
Короленко,Валерій,Венедиктович,male,1953-09-13,Ювелір,селище Кременчук,"парк Кладовищний, буд. 1, Вінниця, 15540",022 748-04-44,mariiabaidak@example.org
Артимович,Станіслав,Давидович,male,1956-09-25,Хімік,хутір Прип'ять ,"проспект Серединський, буд. 4 кв. 33, Дружківка, 78906",034 588-50-32,akulenkosolomon@example.net
Бездітко,Андрій,Пантелеймонович,male,1953-06-16,Конструктор,місто Балаклія,"набережна Новоселів, буд. 050, Костопіль, 17248",+380 10 012-59-73,ssvyrydenko@example.net
Свириденко,Прохір,Петрович,male,1964-07-06,Флорист,місто Докучаєвськ,"парк Садова 4-та, буд. 2 кв. 7, Могилів-Подільський, 66280",+380 20 000 77 43,zynovii20@example.net
Тягнибок,Оксенія,Феофанівна,female,1998-12-16,Стоматолог,селище Білозерське,"проспект Заводська 4-та, буд. 58, Рава-Руська, 08105",+380 23 055-88-82,rpavlenko@example.net
Овсієнко,Розалія,Богданівна,female,1958-05-10,Швачка,місто Тульчин,"парк Тополиний, буд. 846 кв. 1, Теребовля, 34676",+380 46 929 48 78,dmytrocherednyk@example.org
Цюцюра,Валентина,Ростиславівна,female,1991-03-10,Співак,село Мала Виска,"вулиця Аеропортівський 2-й, буд. 04, Білопілля, 85012",+380 88 201-31-48,slaba@example.net
Василечко,Августин,Богданович,male,1985-09-08,Правник,село Павлоград,"набережна Наявний 7-й, буд. 477, Докучаєвськ, 82562",073 797-72-88,lytvynenkovarfolomii@example.com
Алексеєнко,Артем,Демидович,male,1966-12-10,Детектив,село Пустомити,"провулок Бучми, буд. 48 кв. 99, Решетилівка, 14640",+380 26 285-23-11,liudmyla36@example.com
Єрьоменко,Василина,Данівна,female,1943-08-24,Психолог,село Нове Давидково,"сквер Нафтовиків 3-й, буд. 9, Першотравенськ, 30793",532 31 27,mariiasvyrydenko@example.net
Іщенко,Дарина,Юхимівна,female,1966-12-25,Письменник,хутір Світловодськ,"вулиця Фруктовий, буд. 510, Ялта, 63176",714 35 55,shevchenkoprokhir@example.com
Рудик,Ольга,Пантелеймонівна,female,2003-10-25,Каскадер,село Хирів,"узвіз Чорноморський 12-й, буд. 626 кв. 1, Кагарлик, 42380",804 89 78,dhuz@example.net
Батюк,Аркадій,Данилович,male,1954-03-20,Астронавт,село Тернівка ,"узвіз Мічуріна, буд. 645 кв. 4, Світловодськ, 75254",813 03 43,valeriiredko@example.com
Кибкало,Прохір,Юхимович,male,2001-07-21,Вчитель,хутір Білгород-Дністровський,"набережна Зоряна, буд. 173 кв. 8, Чернігів, 49846",094 976 14 47,serhiiovcharenko@example.com
Дергач,Ігор,Бориславович,male,1948-08-19,Електромонтажник,хутір Рогатин,"шосе Літературна, буд. 914 кв. 226, Славутич, 89853",056 012 65 29,dupliipetro@example.com
Саченко,Ярема,Євгенійович,male,1940-10-05,Філолог,місто Нетішин,"шосе Льва Толстого, буд. 913, Шахтарськ, 22509",358-82-89,lukian87@example.com
Авраменко,Софія,Теодорівна,female,1951-02-09,Громадський діяч,село Ромни,"шосе 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 91 кв. 16, Попасна, 88025",154-61-86,ovcharenkoomelian@example.com
Дробʼязко,Марʼяна,Валеріївна,female,1994-02-13,Музикознавець,місто Василівка ,"провулок Пересипська 9-та, буд. 7, Кам'янське, 82626",365-68-64,tymofiihavryshkevych@example.org
Носенко,Лілія,Орестівна,female,1978-08-28,Професор,хутір Корюківка,"парк Комітетська, буд. 3, Городище , 12684",+380 71 315 04 63,dkashchenko@example.net
Хомик,Геннадій,Лукʼянович,male,2007-10-24,Інженер,місто Тисмениця,"узвіз Короткий, буд. 2 кв. 668, Новоазовськ, 77317",+380 (46) 164-22-27,mykyta24@example.com
Безбородько,Любов,Ярославівна,female,2000-09-05,Шериф,село Тростянець,"проспект Липнева, буд. 6, Борислав, 98989",+380 49 817 40 65,oles78@example.com
Абрагамовський,Соломон,Охрімович,male,1976-06-21,Електрик,хутір Волочиськ,"шосе Ангарська, буд. 768, Хирів, 29250",270 45 64,herman44@example.com
Штепа,Олекса,Зорянович,male,1982-06-20,Журналіст,село Бровари,"вулиця Сінна, буд. 0, Ананьїв, 91084",+380 98 311 00 03,lubenetsdanylo@example.org
Павленко,Богданна,Іванівна,female,1938-12-27,Електротехнік,місто Щолкіне,"проспект Штабний, буд. 3, Голубівка, 05154",822-29-45,kskyba@example.net
Матяш,Віра,Феофанівна,female,1964-10-18,Клоун,село Моспине,"провулок Хутірський, буд. 421 кв. 96, Новий Калинів, 33736",+380 56 296-77-49,sofiia55@example.com
Ткаченко,Пармен,Леопольдович,male,1960-09-17,Акушер,місто Рава-Руська,"провулок Різницький, буд. 707, Ясинувата, 81521",840 79 55,bohodarliashko@example.net
Дутка,Олександр,Георгійович,male,1991-03-11,Скульптор,село Гнівань,"шосе Планетна, буд. 44, Лубни, 97665",+380 (54) 227-98-84,jshelest@example.net
Самойленко,Августин,Бориславович,male,1940-12-21,Провізор,село Охтирка,"парк Ювілейний 1-й, буд. 0, Кремінна, 16240",513 68 33,valentynaprytula@example.org
Ющенко,Євген,Теодорович,male,1940-11-22,Музикант,село Хорол ,"сквер Шота Руставелі, буд. 49 кв. 87, Путивль, 54173",614-27-65,haidaburahryhorii@example.com
Опанасенко,Геннадій,Захарович,male,1945-05-24,Будник,село Здолбунів,"провулок Метрополітенівський, буд. 0 кв. 35, Вашківці, 85147",098 461-50-49,dubenkoazar@example.org
Сірченко,Андрій,Теодорович,male,1958-10-31,Редактор,місто Сімферополь,"набережна Восьмого березня 1-й, буд. 7, Нетішин, 56707",+380 (30) 750-26-30,mykolaibabak@example.org
Іваненко,Тарас,Трохимович,male,1960-01-17,Флорист,село Новоукраїнка,"провулок Героїв Крут, буд. 202, Дружківка, 28762",+380 (50) 418-88-77,lubenetsviktoriia@example.com
Канівець,Макар,Назарович,male,1978-10-22,Ґрунтознавець,хутір Перемишляни,"проспект Кримська, буд. 614, Куп'янськ, 18960",+380 29 912 54 53,leontiihavrysh@example.net
Христенко,Франц,Венедиктович,male,1984-10-07,Мікробіолог,місто Алчевськ,"провулок Єрмака, буд. 0 кв. 054, Кривий Ріг, 66492",+380 49 407-15-51,vasylyna60@example.net
Іванченко,Ада,Охрімівна,female,1962-05-17,Інженер,місто Ворожба,"набережна Вчительська, буд. 2 кв. 0, Новогродівка, 33218",+380 (34) 969-66-43,oksana57@example.com
Михалюк,Лілія,Арсенівна,female,1967-07-28,Астроном,село Синельникове,"проспект Листяна, буд. 552 кв. 9, Світлодарськ, 52732",362 82 89,maksym37@example.net
Фоменко,Панас,Дмитрович,male,1986-02-02,Сценарист,селище Іловайськ,"проспект Орловський, буд. 887 кв. 72, Тульчин, 97065",551 50 25,yzatovkaniuk@example.org
Алексеєнко,Емілія,Давидівна,female,2004-06-13,Режисер,місто Бердянськ,"провулок Лиманчик 2-й Лінія 4-та, буд. 14 кв. 9, Кам'янка-Бузька, 35298",+380 96 924 15 06,dholoborodko@example.net
Радченко,Емілія,Романівна,female,1969-03-24,Математик,село Броди,"сквер Космонавта Комарова, буд. 57 кв. 48, Алушта, 48509",001 914-99-58,viacheslav91@example.net
Козаченко,Марʼяна,Арсенівна,female,1979-12-29,Дипломат,село Чернігів,"провулок Лазурний 3-й, буд. 3, Очаків, 91498",043 556 16 03,mykytateslenko@example.com
Бабич,Ростислав,Пилипович,male,1982-05-20,Електротехнік,село Сорокине,"провулок Ключовий 1-й, буд. 6 кв. 128, Снятин, 22809",579-27-77,gshchors@example.org
Гаврилюк,Аніта,Трохимівна,female,1984-10-12,Єгер,місто Чортків,"проспект Водопровідний 2-й, буд. 01 кв. 2, Чугуїв, 30844",+380 17 216-68-18,oleksandr38@example.net
Онуфрієнко,Олег,Гаврилович,male,1939-07-05,Шериф,місто Ясинувата,"проспект Щоголєва, буд. 2 кв. 7, Рава-Руська, 81342",842 39 54,vashchenkoiryna@example.com
Худобʼяк,Теодор,Варфоломійович,male,1943-06-13,Намотувальник,хутір Тисмениця,"провулок Тролейбусна, буд. 167 кв. 67, Тячів, 11764",711 05 63,nsymonenko@example.net
Салій,Святослава,Павлівна,female,1969-03-16,Клавішник,село Дубровиця,"площа Газовий, буд. 2 кв. 9, Ровеньки, 48707",+380 89 332 10 65,sbaidak@example.com
Гречаник,Устим,Омелянович,male,1964-03-05,Провізор,селище Гірське,"узвіз Академіка Вавилова, буд. 90 кв. 668, Самбір, 45258",+380 47 927-58-46,hermankarpenko@example.org
Атаманчук,Онисим,Богодарович,male,2008-01-19,Паралегал,місто Південне ,"провулок Лузанівський 1-й, буд. 93 кв. 76, Сновськ, 65022",343 30 88,vadym22@example.org
Олійник,Пріска,Федорівна,female,1980-12-29,Кіноактор,село Алчевськ,"шосе Академіка Вільямса, буд. 236 кв. 108, Покров, 74156",066 828-98-30,zlatoslavazhurba@example.com
Шило,Маруся,Романівна,female,1974-08-12,Геолог,село Славутич,"набережна Пілотна, буд. 938 кв. 78, Чернігів, 74060",534 08 41,roksolana17@example.org
Бевз,Пантелеймон,Віталійович,male,1984-10-17,Промисловець,місто Фастів,"шосе Товарний, буд. 3, Василівка , 34952",+380 77 004-30-06,iustyna10@example.net
Христич,Мирослав,Андрійович,male,1962-07-31,Менеджер,селище Українськ,"узвіз Любашівський, буд. 803, Лохвиця, 17154",070 803-07-09,ytovstolis@example.net
Гайворонський,Тимофій,Костянтинович,male,1969-12-16,Вчитель,хутір Полтава,"проспект 5-та Суворовська, буд. 193, Пирятин, 45752",+380 55 548-50-31,okseniiabaturynets@example.net
Хмара,Лесь,Орхипович,male,1957-07-11,Швачка,місто Бориспіль,"вулиця Східчастий, буд. 2, Косів, 50843",+380 (89) 427-81-09,myron19@example.org
Тарасенко,Едуард,Григорійович,male,1989-12-14,Електрик,село Старий Крим,"площа 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 2, Тячів, 44382",078 055-04-69,antondurdynets@example.com
Дзюба,Камілла,Несторівна,female,1983-06-10,Музичний редактор,село Бурштин ,"шосе Кондрашина, буд. 8 кв. 916, Іллінці, 34762",+380 94 896-28-16,liliia47@example.net
Абраменко,Назар,Антонович,male,1970-08-13,Бібліограф,село Мена ,"шосе Ільфа і Петрова, буд. 24, Першотравенськ, 84126",+380 60 769-26-73,lytvynklyment@example.com
Гайдай,Володимир,Устимович,male,1960-12-08,Науковець,місто Новий Буг,"набережна Довженка, буд. 4, Славута, 42614",000 072 92 10,ebabiuk@example.net
Дубенко,Данна,Аврелійовна,female,1973-11-27,Режисер,село Звенигородка,"провулок Ціолковського, буд. 14 кв. 7, Мар'їнка, 24670",+380 (08) 706-61-41,leonzhadan@example.net
Гайдай,Одарка,Іванівна,female,1957-04-30,Юрист,село Слов'янськ,"проспект Сергія Ядова, буд. 544 кв. 84, Лиман , 76137",+380 12 989-99-76,hlib37@example.org
Бевз,Софія,Данилівна,female,1973-09-29,Адвокат,село Устилуг,"шосе Дунаєвського, буд. 9, Золоте, 11066",+380 26 432 53 76,albertchornovil@example.com
Батіг,Марʼяна,Олександрівна,female,1969-03-07,Намотувальник,селище Старобільськ,"набережна Перемоги, буд. 9 кв. 423, Буринь, 49940",031 898-87-94,arsenychiryna@example.org
Козаченко,Оксана,Тимофіївна,female,1954-11-19,Астроном,хутір Путивль,"провулок Світла, буд. 80, Євпаторія, 52138",916 59 79,babychhalyna@example.org
Бгиденко,Алла,Яремівна,female,1964-07-09,Льотчик,хутір Турка,"парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 71, Борислав, 30965",032 945-54-87,alina30@example.com
Ємельяненко,Ярослав,Вікторович,male,1951-05-29,Ді-джей,селище Стебник,"вулиця Чубаївська, буд. 5 кв. 3, Яготин, 47561",048-73-68,rtsymbaliuk@example.net
Бабʼяк,Станіслав,Арсенович,male,1951-03-21,Промисловець,селище Новомосковськ,"проспект Самарська, буд. 1 кв. 7, П'ятихатки, 78889",+380 31 008-26-24,liashkoada@example.org
Цушко,Олесь,Венедиктович,male,1969-06-15,Кіноактор,селище Слов'янськ,"проспект Морехідний, буд. 1 кв. 1, Кам'янець-Подільський, 29169",054 690-66-89,kolesnychenkofrants@example.com
Зінчук,Амалія,Михайлівна,female,1977-08-30,Хореограф,хутір Вашківці,"сквер Далекосхідна, буд. 09 кв. 089, Городня, 95973",645 46 92,khrystynabaranets@example.com
Самойленко,Юхим,Богодарович,male,1975-03-28,Живописець,село Белз,"парк Український 1-й, буд. 89, Новодружеськ, 31530",980 86 64,iustyna92@example.net
Безбородько,Емілія,Несторівна,female,1959-08-13,Електротехнік,хутір Святогірськ,"парк Естонський, буд. 4 кв. 42, Нове Давидково, 21502",+380 24 083-42-56,mykhailyna21@example.org
